distname,district_id,dist_grad,dist_grad_tot,dist_died,dist_ret_home_ctry,dist_college,dist_home_school,dist_rem_cps,dist_exp_no_ret,dist_enr_priv,dist_enr_non_tx_priv,dist_admin_withdrawn,dist_grad_hs_gone,dist_ged_non_tx,dist_univ_hs_dp,dist_grad_iceo_mil,dist_other_tot,dist_pregnancy,dist_med_inj,dist_crt_ord_no_ged,dist_fed_or_state_jail,dist_other,dist_drop_tot,leaver_count,enrollment_count,school_year
Burnet CISD,027903,237,237,1,2,0,38,0,0,5,14,0,0,0,0,0,60,0,0,0,0,7,7,7.0,541.0,2023-24
Marble Falls ISD,027904,309,309,0,4,0,55,0,0,2,24,0,0,0,0,0,85,0,0,0,1,6,7,7.0,710.0,2023-24
Lockhart ISD,028902,502,502,1,5,0,18,0,0,1,15,1,0,0,0,0,41,0,0,4,0,85,89,89.0,1134.0,2023-24
Luling ISD,028903,97,97,0,2,0,11,0,0,0,7,0,0,0,0,0,20,0,0,0,0,5,5,5.0,219.0,2023-24
Prairie Lea ISD,028906,14,14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,4,4.0,35.0,2023-24
Calhoun County ISD,029901,238,238,1,9,0,22,0,0,1,5,0,0,0,0,0,38,-1,-1,-1,-1,-1,4,4.0,518.0,2023-24
Cross Plains ISD,030901,26,26,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,1,1.0,56.0,2023-24
Clyde CISD,030902,109,109,0,2,0,8,1,0,0,4,0,0,0,0,0,15,-1,-1,-1,-1,-1,3,3.0,236.0,2023-24
Baird ISD,030903,22,22,2,0,0,5,0,0,0,7,0,0,0,0,0,14,0,0,0,0,0,0,0.0,58.0,2023-24
Eula ISD,030906,19,19,0,0,0,8,0,0,0,2,0,0,0,0,0,10,0,0,0,0,0,0,0.0,48.0,2023-24
Brownsville ISD,031901,"2,880","2,880",1,283,31,71,0,0,8,136,0,0,1,0,0,531,25,0,2,1,54,82,82.0,613.0,2023-24
Harlingen CISD,031903,"1,269","1,269",1,21,0,50,2,0,2,65,0,0,0,0,0,141,0,0,2,0,53,55,55.0,196.0,2023-24
La Feria ISD,031905,240,240,0,3,0,3,0,0,0,7,0,0,0,0,0,13,0,0,0,0,20,20,20.0,513.0,2023-24
Los Fresnos CISD,031906,733,733,2,15,1,4,0,0,0,25,0,0,0,0,0,47,0,0,0,0,43,43,43.0,1556.0,2023-24
Point Isabel ISD,031909,143,143,0,4,0,7,0,0,0,4,0,0,0,0,0,15,0,0,0,0,6,6,6.0,307.0,2023-24
Rio Hondo ISD,031911,104,104,0,0,0,2,0,0,0,11,0,0,0,0,0,13,0,0,0,0,13,13,13.0,234.0,2023-24
San Benito CISD,031912,688,688,2,37,0,2,0,0,0,26,3,0,1,0,0,71,0,0,0,0,90,90,90.0,1537.0,2023-24
Santa Maria ISD,031913,45,45,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,3,3.0,95.0,2023-24
Santa Rosa ISD,031914,78,78,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,0,0,0,6,6,6.0,168.0,2023-24
South Texas ISD,031916,676,676,1,16,67,16,0,0,18,19,0,0,0,0,0,137,0,0,0,0,0,0,0.0,1489.0,2023-24
Pittsburg ISD,032902,147,147,0,2,0,29,0,0,12,14,0,0,0,0,0,57,0,0,0,0,0,0,0.0,351.0,2023-24
Groom ISD,033901,11,11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,0,0,0,0,0,0,0.0,26.0,2023-24
Panhandle ISD,033902,42,42,0,1,0,4,0,0,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0.0,92.0,2023-24
White Deer ISD,033904,17,17,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,0,0,0,0,0,0,0.0,38.0,2023-24
Atlanta ISD,034901,111,111,0,5,0,18,0,0,0,11,0,0,0,0,0,34,0,0,0,0,0,0,0.0,256.0,2023-24
Avinger ISD,034902,6,6,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0.0,17.0,2023-24
Hughes Springs ISD,034903,65,65,0,0,0,18,0,0,0,5,0,0,0,0,0,23,0,0,0,0,6,6,6.0,159.0,2023-24
Linden-Kildare CISD,034905,39,39,0,0,0,8,0,0,2,8,0,0,0,0,0,18,0,0,0,0,0,0,0.0,96.0,2023-24
McLeod ISD,034906,28,28,1,0,0,2,0,0,1,1,2,0,0,0,0,7,0,0,0,0,0,0,0.0,63.0,2023-24
Queen City ISD,034907,88,88,0,2,0,11,0,1,0,4,0,0,0,0,0,18,0,0,0,0,0,0,0.0,194.0,2023-24
Bloomburg ISD,034909,21,21,0,0,0,6,0,0,0,2,0,0,0,0,0,8,0,0,0,0,0,0,0.0,50.0,2023-24
Dimmitt ISD,035901,63,63,1,0,0,2,0,0,1,10,0,0,0,0,0,14,-1,-1,-1,-1,-1,3,3.0,143.0,2023-24
Hart ISD,035902,15,15,0,5,0,2,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0.0,37.0,2023-24
Nazareth ISD,035903,22,22,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,0,0,0,0,0.0,45.0,2023-24
Anahuac ISD,036901,107,107,1,0,0,10,0,0,0,6,0,0,0,0,0,17,-1,-1,-1,-1,-1,1,1.0,232.0,2023-24
Barbers Hill ISD,036902,436,436,0,6,0,34,0,0,1,35,0,0,0,0,0,76,0,0,0,0,7,7,7.0,955.0,2023-24
East Chambers ISD,036903,105,105,0,11,0,9,0,0,0,11,0,0,0,0,0,31,0,0,0,0,0,0,0.0,241.0,2023-24
Alto ISD,037901,35,35,0,0,0,5,0,0,0,2,0,0,0,0,0,7,0,0,0,0,0,0,0.0,77.0,2023-24
Jacksonville ISD,037904,324,324,3,9,0,35,0,2,2,10,0,0,0,0,0,61,0,0,1,0,14,15,15.0,724.0,2023-24
Rusk ISD,037907,126,126,0,2,0,27,0,0,2,12,0,0,0,0,0,43,-1,-1,-1,-1,-1,4,4.0,299.0,2023-24
New Summerfield ISD,037908,29,29,0,0,0,6,0,0,0,1,0,0,0,0,0,7,-1,-1,-1,-1,-1,1,1.0,66.0,2023-24
